               SKB    CPU          PROCESS                     FUNC        TIMESTAMP
0xffff9f5f0ac5d000      3           [ping]       validate_xmit_vlan    1026589536451 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       validate_xmit_xfrm    1026589543810 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]      dev_hard_start_xmit    1026589550673 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]   skb_clone_tx_timestamp    1026589558200 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]        __dev_forward_skb    1026589565178 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       __dev_forward_skb2    1026589572386 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]         skb_scrub_packet    1026589579620 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]           eth_type_trans    1026589586909 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]                 netif_rx    1026589594436 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]        netif_rx_internal    1026589601251 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       enqueue_to_backlog    1026589608678 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]      __netif_receive_skb    1026589616829 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping] __netif_receive_skb_one_core    1026589623706 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]                   ip_rcv    1026589632128 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]              ip_rcv_core    1026589639474 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]               sock_wfree    1026589647517 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]     ip_route_input_noref    1026589656433 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       ip_route_input_rcu    1026589664401 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]      ip_route_input_slow    1026589672316 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]      fib_validate_source    1026589683057 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]         ip_local_deliver    1026589694335 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]  ip_local_deliver_finish    1026589702095 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]  ip_protocol_deliver_rcu    1026589710228 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]        raw_local_deliver    1026589719849 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]             raw_v4_input    1026589728163 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]                 icmp_rcv    1026589736118 10.10.0.10:0->10.10.0.20:0(icmp)
